## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     5.983171e-40
 1.122019e-08     8.700550e-40
 1.258925e-08     1.241329e-39
 1.412538e-08     1.733669e-39
 1.584893e-08     2.373380e-39
 1.778279e-08     3.191101e-39
 1.995263e-08     4.221965e-39
 2.238721e-08     5.506073e-39
 2.511887e-08     7.089241e-39
 2.818382e-08     9.023809e-39
 3.162278e-08     1.136979e-38
 3.548135e-08     1.419601e-38
 3.981071e-08     1.758165e-38
 4.466837e-08     2.161798e-38
 5.011870e-08     2.641021e-38
 5.623413e-08     3.208007e-38
 6.309576e-08     3.876819e-38
 7.079456e-08     4.663723e-38
 7.943284e-08     5.587584e-38
 8.912505e-08     6.670212e-38
 1.000000e-07     7.936924e-38
 1.122019e-07     9.417019e-38
 1.258925e-07     1.114445e-37
 1.412538e-07     1.315862e-37
 1.584892e-07     1.550511e-37
 1.778279e-07     1.823688e-37
 1.995263e-07     2.141521e-37
 2.238721e-07     2.511111e-37
 2.511887e-07     2.940700e-37
 2.818382e-07     3.439828e-37
 3.162278e-07     4.019563e-37
 3.548136e-07     4.692724e-37
 3.981071e-07     5.474161e-37
 4.466837e-07     6.381109e-37
 5.011870e-07     7.433507e-37
 5.623413e-07     8.654503e-37
 6.309576e-07     1.007089e-36
 7.079456e-07     1.171371e-36
 7.943284e-07     1.361898e-36
 8.912505e-07     1.582838e-36
 1.000000e-06     1.839029e-36
 1.122019e-06     2.136070e-36
 1.258925e-06     2.480447e-36
 1.412538e-06     2.879690e-36
 1.584893e-06     3.342507e-36
 1.778279e-06     3.879001e-36
 1.995263e-06     4.500880e-36
 2.238721e-06     5.221698e-36
 2.511887e-06     6.057179e-36
 2.818382e-06     7.025525e-36
 3.162278e-06     8.147856e-36
 3.548136e-06     9.448616e-36
 3.981071e-06     1.095613e-35
 4.466837e-06     1.270326e-35
 5.011870e-06     1.472802e-35
 5.623413e-06     1.707457e-35
 6.309576e-06     1.979395e-35
 7.079456e-06     2.294535e-35
 7.943284e-06     2.659745e-35
 8.912505e-06     3.082967e-35
 1.000000e-05     3.573422e-35
 1.122019e-05     4.141781e-35
 1.258925e-05     4.800407e-35
 1.412538e-05     5.563652e-35
 1.584893e-05     6.448109e-35
 1.778279e-05     7.473034e-35
 1.995263e-05     8.660739e-35
 2.238721e-05     1.003705e-34
 2.511887e-05     1.163194e-34
 2.818382e-05     1.348008e-34
 3.162278e-05     1.562173e-34
 3.548135e-05     1.810346e-34
 3.981071e-05     2.097925e-34
 4.466837e-05     2.431173e-34
 5.011870e-05     2.817334e-34
 5.623413e-05     3.264817e-34
 6.309577e-05     3.783355e-34
 7.079457e-05     4.384224e-34
 7.943284e-05     5.080508e-34
 8.912505e-05     5.887343e-34
 1.000000e-04     6.822300e-34
 1.122018e-04     7.905701e-34
 1.258926e-04     9.159438e-34
 1.412538e-04     1.057764e-33
 1.584893e-04     1.221311e-33
 1.778279e-04     1.411031e-33
 1.995262e-04     1.631588e-33
 2.238722e-04     1.888316e-33
 2.511887e-04     2.187450e-33
 2.818383e-04     2.536337e-33
 3.162278e-04     2.943647e-33
 3.548134e-04     3.419620e-33
 3.981073e-04     3.976365e-33
 4.466837e-04     4.628201e-33
 5.011873e-04     5.392091e-33
 5.623413e-04     6.288128e-33
 6.309572e-04     7.340138e-33
 7.079460e-04     8.576397e-33
 7.943284e-04     1.003045e-32
 8.912510e-04     1.174216e-32
 1.000000e-03     1.375892e-32
 1.122018e-03     1.613707e-32
 1.258926e-03     1.894370e-32
 1.412538e-03     2.225858e-32
 1.584893e-03     2.617681e-32
 1.778279e-03     3.081173e-32
 1.995262e-03     3.629842e-32
 2.238722e-03     4.279804e-32
 2.511887e-03     5.050278e-32
 2.818383e-03     5.964218e-32
 3.162278e-03     7.049032e-32
 3.548133e-03     8.337452e-32
 3.981073e-03     9.868615e-32
 4.466837e-03     1.168928e-31
 5.011873e-03     1.385542e-31
 5.623413e-03     1.643414e-31
 6.309573e-03     1.950618e-31
 7.079460e-03     2.316933e-31
 7.943284e-03     2.754299e-31
 8.912510e-03     3.277473e-31
 1.000000e-02     3.904874e-31
 1.122019e-02     4.659649e-31
 1.258925e-02     5.570906e-31
 1.412538e-02     6.675131e-31
 1.584894e-02     8.017527e-31
 1.778279e-02     9.653447e-31
 1.995263e-02     1.164977e-30
 2.238721e-02     1.408613e-30
 2.511887e-02     1.705646e-30
 2.818385e-02     2.067057e-30
 3.162277e-02     2.505611e-30
 3.548136e-02     3.036149e-30
 3.981071e-02     3.675882e-30
 4.466837e-02     4.444877e-30
 5.011876e-02     5.366559e-30
 5.623413e-02     6.468398e-30
 6.309576e-02     7.782777e-30
 7.079456e-02     9.347907e-30
 7.943284e-02     1.120913e-29
 8.912515e-02     1.342025e-29
 1.000000e-01     1.604525e-29
 1.122019e-01     1.916301e-29
 1.258925e-01     2.275386e-29
 1.412538e-01     2.668275e-29
 1.584894e-01     3.088774e-29
 1.778279e-01     3.532907e-29
 1.995263e-01     3.997444e-29
 2.238721e-01     4.479510e-29
 2.511887e-01     4.976571e-29
 2.818385e-01     5.486427e-29
 3.162278e-01     6.007239e-29
 3.548135e-01     6.537557e-29
 3.981071e-01     7.076275e-29
 4.466837e-01     7.622639e-29
 5.011876e-01     8.176198e-29
 5.623413e-01     8.736772e-29
 6.309576e-01     9.303152e-29
 7.079456e-01     9.877033e-29
 7.943284e-01     1.045836e-28
 8.912515e-01     1.104730e-28
 1.000000e+00     1.164406e-28
 1.122019e+00     1.224874e-28
 1.258925e+00     1.286111e-28
 1.412538e+00     1.348047e-28
 1.584894e+00     1.410530e-28
 1.778279e+00     1.473288e-28
 1.995263e+00     1.535865e-28
 2.238721e+00     1.597536e-28
 2.511887e+00     1.657182e-28
 2.818385e+00     1.713121e-28
 3.162278e+00     1.762901e-28
 3.548136e+00     1.803064e-28
 3.981071e+00     1.828942e-28
 4.466837e+00     1.834613e-28
 5.011876e+00     1.813250e-28
 5.623413e+00     1.758126e-28
 6.309576e+00     1.663186e-28
 7.079456e+00     1.519266e-28
 7.943284e+00     1.353732e-28
 8.912516e+00     1.178913e-28
 1.000000e+01     1.010388e-28
 1.122019e+01     8.499314e-29
 1.258925e+01     7.062938e-29
 1.412538e+01     5.830516e-29
 1.584894e+01     4.799337e-29
 1.778279e+01     3.952378e-29
 1.995263e+01     3.263163e-29
 2.238721e+01     2.704714e-29
 2.511887e+01     2.252374e-29
 2.818385e+01     1.885186e-29
 3.162278e+01     1.585914e-29
 3.548135e+01     1.340917e-29
 3.981071e+01     1.139202e-29
 4.466837e+01     9.723148e-30
 5.011876e+01     8.336125e-30
 5.623413e+01     7.178820e-30
 6.309576e+01     6.209337e-30
 7.079456e+01     5.395531e-30
 7.943284e+01     4.710132e-30
 8.912515e+01     4.132409e-30
 1.000000e+02     3.644666e-30
 1.120000e+02     3.239306e-30
 1.250000e+02     2.906630e-30
 1.400000e+02     2.616928e-30
 1.550000e+02     2.397316e-30
 1.650000e+02     2.279534e-30
 1.750000e+02     2.181187e-30
 1.850000e+02     2.103381e-30
 1.900000e+02     2.081021e-30
 1.950000e+02     2.084267e-30
 2.000000e+02     2.141923e-30
 2.050000e+02     2.314772e-30
 2.100000e+02     2.725646e-30
 2.150000e+02     3.613451e-30
 2.180000e+02     4.548825e-30
 2.210000e+02     5.963345e-30
 2.240000e+02     8.073579e-30
 2.260000e+02     1.001250e-29
 2.270000e+02     1.118340e-29
 2.275000e+02     1.182644e-29
 2.278400e+02     1.260127e-29
 2.380000e+02     7.586102e-24
 2.500000e+02     9.163307e-24
 2.700000e+02     9.863146e-24
 2.900000e+02     1.047274e-23
 3.035000e+02     1.087281e-23
 3.037800e+02     1.094637e-23
 3.045000e+02     1.095210e-23
 3.060000e+02     1.097515e-23
 3.080000e+02     1.101793e-23
 3.100000e+02     1.106881e-23
 3.120000e+02     1.112330e-23
 3.150000e+02     1.120720e-23
