## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.514626e-45
 1.122019e-08     2.203902e-45
 1.258925e-08     3.133905e-45
 1.412538e-08     4.358491e-45
 1.584893e-08     5.942526e-45
 1.778279e-08     7.960279e-45
 1.995263e-08     1.049645e-44
 2.238721e-08     1.364757e-44
 2.511887e-08     1.752394e-44
 2.818382e-08     2.225160e-44
 3.162278e-08     2.797512e-44
 3.548135e-08     3.486042e-44
 3.981071e-08     4.309840e-44
 4.466837e-08     5.290929e-44
 5.011870e-08     6.454699e-44
 5.623413e-08     7.830532e-44
 6.309576e-08     9.452377e-44
 7.079456e-08     1.135952e-43
 7.943284e-08     1.359752e-43
 8.912505e-08     1.621905e-43
 1.000000e-07     1.928525e-43
 1.122019e-07     2.286691e-43
 1.258925e-07     2.704602e-43
 1.412538e-07     3.191779e-43
 1.584892e-07     3.759230e-43
 1.778279e-07     4.419747e-43
 1.995263e-07     5.188133e-43
 2.238721e-07     6.081544e-43
 2.511887e-07     7.119884e-43
 2.818382e-07     8.326195e-43
 3.162278e-07     9.727219e-43
 3.548136e-07     1.135392e-42
 3.981071e-07     1.324215e-42
 4.466837e-07     1.543357e-42
 5.011870e-07     1.797632e-42
 5.623413e-07     2.092631e-42
 6.309576e-07     2.434827e-42
 7.079456e-07     2.831717e-42
 7.943284e-07     3.292002e-42
 8.912505e-07     3.825749e-42
 1.000000e-06     4.444642e-42
 1.122019e-06     5.162205e-42
 1.258925e-06     5.994107e-42
 1.412538e-06     6.958535e-42
 1.584893e-06     8.076520e-42
 1.778279e-06     9.372470e-42
 1.995263e-06     1.087466e-41
 2.238721e-06     1.261583e-41
 2.511887e-06     1.463396e-41
 2.818382e-06     1.697301e-41
 3.162278e-06     1.968400e-41
 3.548136e-06     2.282597e-41
 3.981071e-06     2.646733e-41
 4.466837e-06     3.068748e-41
 5.011870e-06     3.557822e-41
 5.623413e-06     4.124616e-41
 6.309576e-06     4.781469e-41
 7.079456e-06     5.542672e-41
 7.943284e-06     6.424811e-41
 8.912505e-06     7.447074e-41
 1.000000e-05     8.631731e-41
 1.122019e-05     1.000456e-40
 1.258925e-05     1.159542e-40
 1.412538e-05     1.343897e-40
 1.584893e-05     1.557530e-40
 1.778279e-05     1.805092e-40
 1.995263e-05     2.091971e-40
 2.238721e-05     2.424406e-40
 2.511887e-05     2.809636e-40
 2.818382e-05     3.256037e-40
 3.162278e-05     3.773331e-40
 3.548135e-05     4.372768e-40
 3.981071e-05     5.067388e-40
 4.466837e-05     5.872314e-40
 5.011870e-05     6.805045e-40
 5.623413e-05     7.885894e-40
 6.309577e-05     9.138372e-40
 7.079457e-05     1.058971e-39
 7.943284e-05     1.227151e-39
 8.912505e-05     1.422034e-39
 1.000000e-04     1.647862e-39
 1.122018e-04     1.909547e-39
 1.258926e-04     2.212341e-39
 1.412538e-04     2.553152e-39
 1.584893e-04     2.947564e-39
 1.778279e-04     3.405855e-39
 1.995262e-04     3.938943e-39
 2.238722e-04     4.559636e-39
 2.511887e-04     5.283021e-39
 2.818383e-04     6.126907e-39
 3.162278e-04     7.112319e-39
 3.548134e-04     8.264092e-39
 3.981073e-04     9.611602e-39
 4.466837e-04     1.118960e-38
 5.011873e-04     1.303925e-38
 5.623413e-04     1.520931e-38
 6.309572e-04     1.775764e-38
 7.079460e-04     2.075289e-38
 7.943284e-04     2.427649e-38
 8.912510e-04     2.842530e-38
 1.000000e-03     3.331439e-38
 1.122018e-03     3.908064e-38
 1.258926e-03     4.588705e-38
 1.412538e-03     5.392744e-38
 1.584893e-03     6.343292e-38
 1.778279e-03     7.467892e-38
 1.995262e-03     8.799378e-38
 2.238722e-03     1.037692e-37
 2.511887e-03     1.224725e-37
 2.818383e-03     1.446617e-37
 3.162278e-03     1.710031e-37
 3.548133e-03     2.022928e-37
 3.981073e-03     2.394824e-37
 4.466837e-03     2.837091e-37
 5.011873e-03     3.363346e-37
 5.623413e-03     3.989917e-37
