## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     3.470017e-37
 1.122019e-08     5.058810e-37
 1.258925e-08     7.330841e-37
 1.412538e-08     1.051143e-36
 1.584893e-08     1.486816e-36
 1.778279e-08     2.071278e-36
 1.995263e-08     2.840419e-36
 2.238721e-08     3.835305e-36
 2.511887e-08     5.102898e-36
 2.818382e-08     6.696833e-36
 3.162278e-08     8.678495e-36
 3.548135e-08     1.111810e-35
 3.981071e-08     1.409610e-35
 4.466837e-08     1.770489e-35
 5.011870e-08     2.205049e-35
 5.623413e-08     2.725506e-35
 6.309576e-08     3.345923e-35
 7.079456e-08     4.082523e-35
 7.943284e-08     4.954065e-35
 8.912505e-08     5.982208e-35
 1.000000e-07     7.192045e-35
 1.122019e-07     8.612597e-35
 1.258925e-07     1.027746e-34
 1.412538e-07     1.222561e-34
 1.584892e-07     1.450212e-34
 1.778279e-07     1.715934e-34
 1.995263e-07     2.025784e-34
 2.238721e-07     2.386784e-34
 2.511887e-07     2.807079e-34
 2.818382e-07     3.296097e-34
 3.162278e-07     3.864784e-34
 3.548136e-07     4.525809e-34
 3.981071e-07     5.293855e-34
 4.466837e-07     6.185963e-34
 5.011870e-07     7.221846e-34
 5.623413e-07     8.424393e-34
 6.309576e-07     9.820095e-34
 7.079456e-07     1.143965e-33
 7.943284e-07     1.331868e-33
 8.912505e-07     1.549839e-33
 1.000000e-06     1.802664e-33
 1.122019e-06     2.095879e-33
 1.258925e-06     2.435899e-33
 1.412538e-06     2.830170e-33
 1.584893e-06     3.287306e-33
 1.778279e-06     3.817300e-33
 1.995263e-06     4.431731e-33
 2.238721e-06     5.144002e-33
 2.511887e-06     5.969667e-33
 2.818382e-06     6.926726e-33
 3.162278e-06     8.036069e-33
 3.548136e-06     9.321877e-33
 3.981071e-06     1.081216e-32
 4.466837e-06     1.253943e-32
 5.011870e-06     1.454128e-32
 5.623413e-06     1.686137e-32
 6.309576e-06     1.955022e-32
 7.079456e-06     2.266635e-32
 7.943284e-06     2.627769e-32
 8.912505e-06     3.046279e-32
 1.000000e-05     3.531287e-32
 1.122019e-05     4.093348e-32
 1.258925e-05     4.744688e-32
 1.412538e-05     5.499503e-32
 1.584893e-05     6.374206e-32
 1.778279e-05     7.387845e-32
 1.995263e-05     8.562485e-32
 2.238721e-05     9.923673e-32
 2.511887e-05     1.150105e-31
 2.818382e-05     1.332892e-31
 3.162278e-05     1.544708e-31
 3.548135e-05     1.790162e-31
 3.981071e-05     2.074594e-31
 4.466837e-05     2.404195e-31
 5.011870e-05     2.786131e-31
 5.623413e-05     3.228723e-31
 6.309577e-05     3.741595e-31
 7.079457e-05     4.335900e-31
 7.943284e-05     5.024580e-31
 8.912505e-05     5.822607e-31
 1.000000e-04     6.747358e-31
 1.122018e-04     7.818937e-31
 1.258926e-04     9.060549e-31
 1.412538e-04     1.049261e-30
 1.584893e-04     1.214287e-30
 1.778279e-04     1.404550e-30
 1.995262e-04     1.624186e-30
 2.238722e-04     1.878183e-30
 2.511887e-04     2.172495e-30
 2.818383e-04     2.514177e-30
 3.162278e-04     2.911535e-30
 3.548134e-04     3.374331e-30
 3.981073e-04     3.914047e-30
 4.466837e-04     4.544192e-30
 5.011873e-04     5.280706e-30
 5.623413e-04     6.142414e-30
 6.309572e-04     7.151579e-30
 7.079460e-04     8.334565e-30
 7.943284e-04     9.722585e-30
 8.912510e-04     1.135267e-29
 1.000000e-03     1.326875e-29
 1.122018e-03     1.552301e-29
 1.258926e-03     1.817745e-29
 1.412538e-03     2.130572e-29
 1.584893e-03     2.499547e-29
 1.778279e-03     2.935103e-29
 1.995262e-03     3.449658e-29
 2.238722e-03     4.058012e-29
 2.511887e-03     4.777790e-29
 2.818383e-03     5.630021e-29
 3.162278e-03     6.639789e-29
 3.548133e-03     7.837019e-29
 3.981073e-03     9.257456e-29
 4.466837e-03     1.094376e-28
 5.011873e-03     1.294692e-28
 5.623413e-03     1.532790e-28
 6.309573e-03     1.815968e-28
 7.079460e-03     2.152979e-28
 7.943284e-03     2.554354e-28
 8.912510e-03     3.032826e-28
 1.000000e-02     3.603883e-28
 1.122019e-02     4.286486e-28
 1.258925e-02     5.103964e-28
 1.412538e-02     6.085174e-28
 1.584894e-02     7.265767e-28
 1.778279e-02     8.689732e-28
 1.995263e-02     1.041112e-27
 2.238721e-02     1.249575e-27
 2.511887e-02     1.502330e-27
 2.818385e-02     1.808936e-27
 3.162277e-02     2.180769e-27
 3.548136e-02     2.631319e-27
 3.981071e-02     3.176456e-27
 4.466837e-02     3.834855e-27
 5.011876e-02     4.628413e-27
 5.623413e-02     5.582821e-27
 6.309576e-02     6.728296e-27
 7.079456e-02     8.100360e-27
 7.943284e-02     9.740974e-27
 8.912515e-02     1.169970e-26
 1.000000e-01     1.403527e-26
 1.122019e-01     1.681770e-26
 1.258925e-01     2.011420e-26
 1.412538e-01     2.395646e-26
 1.584894e-01     2.835264e-26
 1.778279e-01     3.328765e-26
 1.995263e-01     3.872673e-26
 2.238721e-01     4.462131e-26
 2.511887e-01     5.091617e-26
 2.818385e-01     5.755491e-26
 3.162278e-01     6.448400e-26
 3.548135e-01     7.165533e-26
 3.981071e-01     7.902679e-26
 4.466837e-01     8.656283e-26
 5.011876e-01     9.423397e-26
 5.623413e-01     1.020163e-25
 6.309576e-01     1.098915e-25
 7.079456e-01     1.178456e-25
 7.943284e-01     1.258690e-25
 8.912515e-01     1.339553e-25
 1.000000e+00     1.421010e-25
 1.122019e+00     1.503054e-25
 1.258925e+00     1.585691e-25
 1.412538e+00     1.668943e-25
 1.584894e+00     1.752840e-25
 1.778279e+00     1.837417e-25
 1.995263e+00     1.922714e-25
 2.238721e+00     2.008766e-25
 2.511887e+00     2.095610e-25
 2.818385e+00     2.183283e-25
 3.162278e+00     2.271818e-25
 3.548136e+00     2.361258e-25
 3.981071e+00     2.451650e-25
 4.466837e+00     2.543065e-25
 5.011876e+00     2.635597e-25
 5.623413e+00     2.729388e-25
 6.309576e+00     2.824512e-25
 7.079456e+00     2.916963e-25
 7.943284e+00     3.005851e-25
 8.912516e+00     3.091662e-25
 1.000000e+01     3.176023e-25
 1.122019e+01     3.261550e-25
 1.258925e+01     3.351579e-25
 1.412538e+01     3.457519e-25
 1.584894e+01     3.592028e-25
 1.778279e+01     3.768917e-25
 1.995263e+01     4.003146e-25
 2.238721e+01     4.310497e-25
 2.511887e+01     4.707504e-25
 2.818385e+01     5.211350e-25
 3.162278e+01     5.839458e-25
 3.548135e+01     6.608580e-25
 3.981071e+01     7.533304e-25
 4.466837e+01     8.624256e-25
 5.011876e+01     9.880730e-25
 5.623413e+01     1.125153e-24
 6.309576e+01     1.284136e-24
 7.079456e+01     1.466996e-24
 7.943284e+01     1.679842e-24
 8.912515e+01     1.922494e-24
 1.000000e+02     2.203256e-24
 1.120000e+02     2.536158e-24
 1.250000e+02     2.916627e-24
 1.400000e+02     3.372952e-24
 1.550000e+02     3.833142e-24
 1.650000e+02     4.137692e-24
 1.750000e+02     4.444046e-24
 1.850000e+02     4.736990e-24
 1.900000e+02     4.884024e-24
 1.950000e+02     5.032218e-24
 2.000000e+02     5.180613e-24
 2.050000e+02     5.337479e-24
 2.100000e+02     5.516031e-24
 2.150000e+02     5.739772e-24
 2.180000e+02     5.920352e-24
 2.210000e+02     6.149717e-24
 2.240000e+02     6.469811e-24
 2.260000e+02     6.745649e-24
 2.270000e+02     6.909393e-24
 2.275000e+02     7.000079e-24
 2.278400e+02     7.064351e-24
 2.380000e+02     8.430200e-24
 2.500000e+02     9.908524e-24
 2.700000e+02     1.258997e-23
 2.900000e+02     1.554890e-23
 3.035000e+02     1.759854e-23
 3.037800e+02     2.164397e-23
 3.045000e+02     2.177123e-23
 3.060000e+02     2.204103e-23
 3.080000e+02     2.240378e-23
 3.100000e+02     2.277134e-23
 3.120000e+02     2.313668e-23
 3.150000e+02     2.368747e-23
 3.200000e+02     2.461343e-23
 3.250000e+02     2.564465e-23
 3.300000e+02     2.654502e-23
 3.400000e+02     2.840609e-23
 3.600000e+02     3.204565e-23
 3.800000e+02     3.574939e-23
 4.050000e+02     4.031962e-23
 4.250000e+02     4.393682e-23
 4.500000e+02     4.855634e-23
 4.650000e+02     5.115137e-23
 4.750000e+02     5.291388e-23
 4.820000e+02     5.428427e-23
 4.870000e+02     5.513333e-23
 4.910000e+02     5.581474e-23
 4.950000e+02     5.649657e-23
 4.980000e+02     5.701743e-23
 5.000000e+02     5.736353e-23
 5.020000e+02     5.771239e-23
 5.039800e+02     5.806148e-23
 5.100000e+02     5.912374e-23
 5.250000e+02     6.240312e-23
 5.600000e+02     6.919157e-23
 6.000000e+02     7.801808e-23
 6.500000e+02     8.982058e-23
 7.000000e+02     1.026421e-22
 7.500000e+02     1.168693e-22
 8.000000e+02     1.320498e-22
 8.300000e+02     1.418870e-22
 8.600000e+02     1.525373e-22
 8.800000e+02     1.601318e-22
 8.900000e+02     1.640107e-22
 8.960000e+02     1.663706e-22
 9.000000e+02     1.679577e-22
 9.030000e+02     1.691554e-22
 9.060000e+02     1.703592e-22
 9.090000e+02     1.715962e-22
 9.117800e+02     1.727846e-22
 9.300000e+02     2.317225e-22
 9.500000e+02     2.738737e-22
 9.750000e+02     3.452370e-22
 9.900000e+02     3.979513e-22
 1.005000e+03     4.292565e-22
 1.025000e+03     5.074965e-22
 1.045000e+03     5.992628e-22
 1.065000e+03     7.051869e-22
 1.085000e+03     8.083329e-22
 1.105000e+03     9.360801e-22
 1.125000e+03     1.068155e-21
 1.145000e+03     1.195630e-21
 1.165000e+03     1.335904e-21
 1.185000e+03     1.472154e-21
 1.205000e+03     1.624029e-21
 1.215600e+03     1.694614e-21
 1.215670e+03     1.725994e-21
 1.216000e+03     1.728249e-21
 1.218000e+03     1.741432e-21
 1.221000e+03     1.760229e-21
 1.225000e+03     1.784971e-21
 1.230000e+03     1.817449e-21
 1.240000e+03     1.885316e-21
 1.250000e+03     1.969006e-21
 1.265000e+03     2.106248e-21
 1.285000e+03     2.289287e-21
 1.305000e+03     2.488369e-21
 1.325000e+03     2.690308e-21
 1.345000e+03     2.905785e-21
 1.365000e+03     3.123540e-21
 1.385000e+03     3.351352e-21
 1.405000e+03     3.571880e-21
 1.425000e+03     3.795769e-21
 1.442000e+03     3.986793e-21
 1.455000e+03     4.143414e-21
 1.475000e+03     4.381934e-21
 1.517000e+03     4.877670e-21
 1.595000e+03     5.773339e-21
 1.672000e+03     6.693993e-21
 1.745000e+03     7.544140e-21
 1.825000e+03     8.489376e-21
 1.905000e+03     9.377894e-21
 1.984000e+03     1.021365e-20
 2.065000e+03     1.100714e-20
 2.135000e+03     1.162469e-20
 2.215000e+03     1.229355e-20
 2.295000e+03     1.292851e-20
 2.375000e+03     1.357125e-20
 2.455000e+03     1.421236e-20
 2.525000e+03     1.477836e-20
 2.605000e+03     1.542750e-20
 2.685000e+03     1.614964e-20
 2.765000e+03     1.683205e-20
 2.845000e+03     1.744134e-20
 2.950000e+03     1.834426e-20
 3.110000e+03     1.975568e-20
 3.270000e+03     2.112403e-20
 3.430000e+03     2.251065e-20
 3.590000e+03     2.385878e-20
 3.730000e+03     2.507920e-20
 3.890000e+03     2.718293e-20
 4.050000e+03     2.930968e-20
 4.210000e+03     3.270493e-20
 4.370000e+03     3.572330e-20
 4.530000e+03     3.900804e-20
 4.690000e+03     4.238556e-20
 4.850000e+03     4.566144e-20
 5.010000e+03     4.870868e-20
 5.170000e+03     5.187601e-20
 5.330000e+03     5.490703e-20
 5.490000e+03     5.806734e-20
 5.650000e+03     6.111787e-20
 5.810000e+03     6.428480e-20
 5.970000e+03     6.718465e-20
 6.130000e+03     7.014163e-20
 6.290000e+03     7.292425e-20
 6.450000e+03     7.560848e-20
 6.610000e+03     7.823147e-20
 6.770000e+03     8.079258e-20
 6.930000e+03     8.326622e-20
 7.090000e+03     8.562021e-20
 7.250000e+03     8.789444e-20
 7.410000e+03     9.008776e-20
 7.570000e+03     9.223180e-20
 7.730000e+03     9.434598e-20
 7.890000e+03     9.641845e-20
 8.050000e+03     9.835942e-20
 8.210000e+03     1.002649e-19
 8.370000e+03     1.021225e-19
 8.530000e+03     1.038682e-19
 8.690000e+03     1.055810e-19
 8.850000e+03     1.073123e-19
 9.010000e+03     1.089624e-19
 9.170000e+03     1.105872e-19
 9.330000e+03     1.122165e-19
 9.490000e+03     1.138016e-19
 9.650000e+03     1.153856e-19
 9.810000e+03     1.168911e-19
 9.970000e+03     1.183756e-19
 1.050000e+04     1.229491e-19
 1.150000e+04     1.295540e-19
 1.250000e+04     1.350589e-19
 1.350000e+04     1.394477e-19
 1.450000e+04     1.432182e-19
 1.550000e+04     1.467337e-19
 1.650000e+04     1.497839e-19
 1.750000e+04     1.517112e-19
 1.850000e+04     1.523340e-19
 1.950000e+04     1.517725e-19
 2.050000e+04     1.503553e-19
 2.150000e+04     1.484775e-19
 2.250000e+04     1.460657e-19
 2.350000e+04     1.427025e-19
 2.450000e+04     1.389954e-19
 2.550000e+04     1.350910e-19
 2.650000e+04     1.314103e-19
 2.750000e+04     1.278786e-19
 2.850000e+04     1.245048e-19
 2.950000e+04     1.213581e-19
 3.050000e+04     1.184743e-19
 3.150000e+04     1.158447e-19
 3.250000e+04     1.134462e-19
 3.350000e+04     1.113239e-19
 3.450000e+04     1.095026e-19
 3.550000e+04     1.079162e-19
 3.650000e+04     1.065416e-19
 3.750000e+04     1.054423e-19
 3.850000e+04     1.046069e-19
 3.950000e+04     1.038357e-19
 4.050000e+04     1.032468e-19
 4.150000e+04     1.026683e-19
 4.250000e+04     1.022004e-19
 4.350000e+04     1.018125e-19
 4.450000e+04     1.014411e-19
 4.550000e+04     1.011359e-19
 4.650000e+04     1.009432e-19
 4.750000e+04     1.008630e-19
 4.850000e+04     1.008323e-19
 4.950000e+04     1.007776e-19
 5.050000e+04     1.007233e-19
 5.150000e+04     1.007542e-19
 5.250000e+04     1.008850e-19
 5.350000e+04     9.988520e-20
 5.450000e+04     9.842483e-20
 5.550000e+04     9.733439e-20
 5.650000e+04     9.661901e-20
 5.750000e+04     9.651363e-20
 5.850000e+04     9.691603e-20
 5.950000e+04     9.914579e-20
 6.050000e+04     1.037998e-19
 6.150000e+04     1.122577e-19
 6.250000e+04     1.254034e-19
 6.350000e+04     1.344814e-19
 6.450000e+04     1.399402e-19
 6.550000e+04     1.439176e-19
 6.650010e+04     1.480948e-19
 6.750010e+04     1.538862e-19
 6.850010e+04     1.593189e-19
 6.950010e+04     1.652368e-19
 7.020000e+04     1.700977e-19
 7.100000e+04     1.761958e-19
 7.180000e+04     1.828435e-19
 7.260000e+04     1.911141e-19
 7.340000e+04     2.006744e-19
 7.420000e+04     2.123961e-19
 7.500000e+04     2.267597e-19
 7.580000e+04     2.432585e-19
 7.660000e+04     2.609731e-19
 7.740000e+04     2.769197e-19
 7.820000e+04     2.910749e-19
 7.900000e+04     3.033463e-19
 7.980000e+04     3.131008e-19
 8.060000e+04     3.206012e-19
 8.140000e+04     3.263522e-19
 8.220000e+04     3.304163e-19
 8.300000e+04     3.337782e-19
 8.380000e+04     3.374299e-19
 8.460000e+04     3.411446e-19
 8.540000e+04     3.445406e-19
 8.620000e+04     3.480011e-19
 8.700000e+04     3.508103e-19
 8.780000e+04     3.519212e-19
 8.860000e+04     3.514008e-19
 8.940000e+04     3.497431e-19
 9.020000e+04     3.476203e-19
 9.100000e+04     3.452919e-19
 9.180000e+04     3.424481e-19
 9.260000e+04     3.392688e-19
 9.340000e+04     3.359514e-19
 9.420000e+04     3.328083e-19
 9.500000e+04     3.297248e-19
 9.580000e+04     3.265156e-19
 9.660000e+04     3.238669e-19
 9.740000e+04     3.212717e-19
 9.820000e+04     3.182465e-19
 9.900000e+04     3.152916e-19
 9.980000e+04     3.123014e-19
 1.006000e+05     3.094375e-19
 1.020000e+05     3.046603e-19
 1.040000e+05     2.991155e-19
 1.060000e+05     2.970965e-19
 1.080000e+05     2.988122e-19
 1.100000e+05     3.013746e-19
 1.120000e+05     3.126281e-19
 1.140000e+05     3.342189e-19
 1.160000e+05     3.433525e-19
 1.180000e+05     3.471896e-19
 1.200000e+05     3.506247e-19
 1.220000e+05     3.578383e-19
 1.240000e+05     3.655553e-19
 1.260000e+05     3.740828e-19
 1.280000e+05     3.875286e-19
 1.300000e+05     3.950751e-19
 1.320000e+05     3.966181e-19
 1.340000e+05     3.991109e-19
 1.360000e+05     3.979829e-19
 1.380000e+05     3.995672e-19
 1.400000e+05     4.009906e-19
 1.420000e+05     4.023957e-19
 1.440000e+05     4.012624e-19
 1.460000e+05     4.028161e-19
 1.480000e+05     4.039753e-19
 1.500000e+05     4.044780e-19
 1.520000e+05     4.050581e-19
 1.540000e+05     4.078822e-19
 1.560000e+05     4.130355e-19
 1.580000e+05     4.175218e-19
 1.600000e+05     4.223466e-19
 1.620000e+05     4.281344e-19
 1.640000e+05     4.366156e-19
 1.660000e+05     4.469932e-19
 1.680000e+05     4.567361e-19
 1.700000e+05     4.673087e-19
 1.720000e+05     4.792101e-19
 1.740000e+05     4.884117e-19
 1.760000e+05     4.966738e-19
 1.780000e+05     5.035723e-19
 1.800000e+05     5.102666e-19
 1.820000e+05     5.181059e-19
 1.840000e+05     5.240793e-19
 1.860000e+05     5.313771e-19
 1.880000e+05     5.433654e-19
 1.900000e+05     5.517476e-19
 1.920000e+05     5.592205e-19
 1.940000e+05     5.663043e-19
 1.960000e+05     5.745302e-19
 1.980000e+05     5.825980e-19
 2.000000e+05     5.907643e-19
 2.020000e+05     5.994592e-19
 2.040000e+05     6.086564e-19
 2.060000e+05     6.184887e-19
 2.080000e+05     6.281582e-19
 2.100000e+05     6.379235e-19
 2.120000e+05     6.484398e-19
 2.140000e+05     6.593804e-19
 2.160000e+05     6.706705e-19
 2.180000e+05     6.822793e-19
 2.200000e+05     6.939382e-19
 2.220000e+05     7.061001e-19
 2.240000e+05     7.188987e-19
 2.260000e+05     7.321756e-19
 2.280000e+05     7.452963e-19
 2.300000e+05     7.587469e-19
 2.320000e+05     7.730948e-19
 2.340000e+05     7.878984e-19
 2.360000e+05     8.029009e-19
 2.380000e+05     8.181659e-19
 2.400000e+05     8.338191e-19
 2.420000e+05     8.499721e-19
 2.440000e+05     8.665383e-19
 2.460000e+05     8.834295e-19
 2.480000e+05     9.006296e-19
 2.500000e+05     9.183671e-19
 2.520000e+05     9.365939e-19
 2.540000e+05     9.551897e-19
 2.560000e+05     9.742510e-19
 2.580000e+05     9.941254e-19
 2.600000e+05     1.014827e-18
 2.620000e+05     1.035366e-18
 2.640000e+05     1.055907e-18
 2.660000e+05     1.076841e-18
 2.680000e+05     1.097981e-18
 2.700000e+05     1.119575e-18
 2.720000e+05     1.141691e-18
 2.740000e+05     1.164162e-18
 2.760000e+05     1.187183e-18
 2.780000e+05     1.210879e-18
 2.800000e+05     1.234915e-18
 2.820000e+05     1.259721e-18
 2.840000e+05     1.285017e-18
 2.860000e+05     1.310212e-18
 2.880000e+05     1.335727e-18
 2.900000e+05     1.361757e-18
 2.920000e+05     1.388146e-18
 2.940000e+05     1.414971e-18
 2.960000e+05     1.442421e-18
 2.980000e+05     1.470238e-18
 3.000000e+05     1.498526e-18
 3.020000e+05     1.527264e-18
 3.040000e+05     1.556450e-18
 3.060000e+05     1.586143e-18
 3.080000e+05     1.616264e-18
 3.100000e+05     1.646991e-18
 3.120000e+05     1.678036e-18
 3.140000e+05     1.709663e-18
 3.160000e+05     1.742141e-18
 3.180000e+05     1.775115e-18
 3.200000e+05     1.808719e-18
 3.220000e+05     1.842990e-18
 3.240000e+05     1.877974e-18
 3.260000e+05     1.913717e-18
 3.280000e+05     1.951003e-18
 3.300000e+05     1.989998e-18
 3.320000e+05     2.029028e-18
 3.340000e+05     2.070848e-18
 3.360000e+05     2.116964e-18
 3.380000e+05     2.159664e-18
 3.400000e+05     2.199231e-18
 3.420000e+05     2.239942e-18
 3.440000e+05     2.281637e-18
 3.460000e+05     2.323740e-18
 3.480000e+05     2.371703e-18
 3.500000e+05     2.422822e-18
 3.520000e+05     2.467475e-18
 3.540000e+05     2.508425e-18
 3.560000e+05     2.549667e-18
 3.580000e+05     2.592076e-18
 3.600000e+05     2.634841e-18
 3.620000e+05     2.677469e-18
 3.640000e+05     2.720693e-18
 3.660000e+05     2.764984e-18
 3.680000e+05     2.807743e-18
 3.700000e+05     2.851953e-18
 3.720000e+05     2.896872e-18
 3.740000e+05     2.941578e-18
 3.760000e+05     2.987168e-18
 3.780000e+05     3.033052e-18
 3.800000e+05     3.078997e-18
 3.820000e+05     3.125654e-18
 3.840000e+05     3.172050e-18
 3.860000e+05     3.218921e-18
 3.880000e+05     3.265846e-18
 3.900000e+05     3.312951e-18
 3.920000e+05     3.360785e-18
 4.320000e+05     4.362635e-18
 4.760000e+05     5.575600e-18
 5.250000e+05     7.049674e-18
 5.790000e+05     8.803736e-18
 6.390000e+05     1.086925e-17
 7.040000e+05     1.315732e-17
 7.760000e+05     1.566048e-17
 8.560000e+05     1.821101e-17
 9.430000e+05     2.053614e-17
 1.040000e+06     2.245961e-17
 1.147000e+06     2.377189e-17
 1.264000e+06     2.435665e-17
 1.394000e+06     2.418720e-17
 1.537000e+06     2.331582e-17
 1.694000e+06     2.186489e-17
 1.868000e+06     1.997363e-17
 2.059000e+06     1.782961e-17
 2.270000e+06     1.557815e-17
 2.503000e+06     1.335447e-17
 2.760000e+06     1.126102e-17
 3.043000e+06     9.366583e-18
 3.354000e+06     7.706169e-18
 3.698000e+06     6.278213e-18
 4.077000e+06     5.080898e-18
 4.495000e+06     4.092543e-18
 4.956000e+06     3.287265e-18
 5.464000e+06     2.637741e-18
 6.024000e+06     2.116717e-18
 6.641000e+06     1.700278e-18
 7.322000e+06     1.367233e-18
 8.073000e+06     1.101063e-18
 8.900000e+06     8.884877e-19
 9.813000e+06     7.184120e-19
 1.082000e+07     5.830877e-19
 1.193000e+07     4.757067e-19
 1.315000e+07     3.911408e-19
 1.450000e+07     3.246920e-19
 1.598000e+07     2.735152e-19
 1.762000e+07     2.342729e-19
 1.943000e+07     2.048866e-19
 2.142000e+07     1.834785e-19
 2.362000e+07     1.683315e-19
 2.604000e+07     1.582126e-19
 2.871000e+07     1.520396e-19
 3.165000e+07     1.490006e-19
 3.489000e+07     1.484456e-19
 3.847000e+07     1.498811e-19
 4.241000e+07     1.529161e-19
 4.676000e+07     1.572744e-19
 5.155000e+07     1.627231e-19
 5.683000e+07     1.691020e-19
 6.266000e+07     1.763036e-19
 6.908000e+07     1.842283e-19
 7.616000e+07     1.928280e-19
 8.397000e+07     2.020684e-19
 9.258000e+07     2.119251e-19
 1.020700e+08     2.223906e-19
 1.125300e+08     2.334634e-19
 1.240600e+08     2.451593e-19
 1.367800e+08     2.575007e-19
 1.508000e+08     2.705019e-19
 1.662500e+08     2.841847e-19
 1.833000e+08     2.985962e-19
 2.020800e+08     3.137409e-19
 2.228000e+08     3.296843e-19
 2.456300e+08     3.464402e-19
 2.708100e+08     3.640681e-19
 2.985700e+08     3.826020e-19
 3.291700e+08     4.020871e-19
 3.629100e+08     4.225750e-19
 4.001100e+08     4.441203e-19
 4.411200e+08     4.667723e-19
 4.863400e+08     4.905975e-19
 5.361900e+08     5.156464e-19
 5.911500e+08     5.419835e-19
 6.517400e+08     5.696754e-19
 7.185400e+08     5.987921e-19
 7.921900e+08     6.294175e-19
 8.733900e+08     6.616252e-19
 9.629200e+08     6.955001e-19
 1.000000e+09     7.090797e-19
