## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     4.825403e-45
 1.122019e-08     7.022002e-45
 1.258925e-08     9.991310e-45
 1.412538e-08     1.390466e-44
 1.584893e-08     1.896949e-44
 1.778279e-08     2.542416e-44
 1.995263e-08     3.354059e-44
 2.238721e-08     4.362868e-44
 2.511887e-08     5.604249e-44
 2.818382e-08     7.118659e-44
 3.162278e-08     8.952504e-44
 3.548135e-08     1.115903e-43
 3.981071e-08     1.379950e-43
 4.466837e-08     1.694460e-43
 5.011870e-08     2.067579e-43
 5.623413e-08     2.508736e-43
 6.309576e-08     3.028823e-43
 7.079456e-08     3.640448e-43
 7.943284e-08     4.358225e-43
 8.912505e-08     5.199058e-43
 1.000000e-07     6.182565e-43
 1.122019e-07     7.331454e-43
 1.258925e-07     8.672035e-43
 1.412538e-07     1.023485e-42
 1.584892e-07     1.205523e-42
 1.778279e-07     1.417422e-42
 1.995263e-07     1.663930e-42
 2.238721e-07     1.950552e-42
 2.511887e-07     2.283675e-42
 2.818382e-07     2.670691e-42
 3.162278e-07     3.120180e-42
 3.548136e-07     3.642078e-42
 3.981071e-07     4.247891e-42
 4.466837e-07     4.950978e-42
 5.011870e-07     5.766791e-42
 5.623413e-07     6.713270e-42
 6.309576e-07     7.811179e-42
 7.079456e-07     9.084574e-42
 7.943284e-07     1.056138e-41
 8.912505e-07     1.227388e-41
 1.000000e-06     1.425958e-41
 1.122019e-06     1.656186e-41
 1.258925e-06     1.923100e-41
 1.412538e-06     2.232535e-41
 1.584893e-06     2.591239e-41
 1.778279e-06     3.007044e-41
 1.995263e-06     3.489022e-41
 2.238721e-06     4.047676e-41
 2.511887e-06     4.695195e-41
 2.818382e-06     5.445682e-41
 3.162278e-06     6.315506e-41
 3.548136e-06     7.323612e-41
 3.981071e-06     8.491948e-41
 4.466837e-06     9.845988e-41
 5.011870e-06     1.141519e-40
 5.623413e-06     1.323376e-40
 6.309576e-06     1.534129e-40
 7.079456e-06     1.778363e-40
 7.943284e-06     2.061399e-40
 8.912505e-06     2.389394e-40
 1.000000e-05     2.769495e-40
 1.122019e-05     3.209970e-40
 1.258925e-05     3.720402e-40
 1.412538e-05     4.311911e-40
 1.584893e-05     4.997357e-40
 1.778279e-05     5.791666e-40
 1.995263e-05     6.712126e-40
 2.238721e-05     7.778754e-40
 2.511887e-05     9.014774e-40
 2.818382e-05     1.044707e-39
 3.162278e-05     1.210682e-39
 3.548135e-05     1.403013e-39
 3.981071e-05     1.625884e-39
 4.466837e-05     1.884147e-39
 5.011870e-05     2.183417e-39
 5.623413e-05     2.530210e-39
 6.309577e-05     2.932071e-39
 7.079457e-05     3.397737e-39
 7.943284e-05     3.937348e-39
 8.912505e-05     4.562635e-39
 1.000000e-04     5.287214e-39
 1.122018e-04     6.126836e-39
 1.258926e-04     7.098436e-39
 1.412538e-04     8.192857e-39
 1.584893e-04     9.458495e-39
 1.778279e-04     1.092882e-38
 1.995262e-04     1.263904e-38
 2.238722e-04     1.463024e-38
 2.511887e-04     1.695082e-38
 2.818383e-04     1.965787e-38
 3.162278e-04     2.281881e-38
 3.548134e-04     2.651329e-38
 3.981073e-04     3.083548e-38
 4.466837e-04     3.589682e-38
 5.011873e-04     4.182927e-38
 5.623413e-04     4.878923e-38
 6.309572e-04     5.696212e-38
 7.079460e-04     6.656804e-38
 7.943284e-04     7.786815e-38
 8.912510e-04     9.117287e-38
 1.000000e-03     1.068512e-37
 1.122018e-03     1.253418e-37
 1.258926e-03     1.471674e-37
 1.412538e-03     1.729493e-37
 1.584893e-03     2.034282e-37
 1.778279e-03     2.394872e-37
 1.995262e-03     2.821788e-37
 2.238722e-03     3.327586e-37
 2.511887e-03     3.927245e-37
 2.818383e-03     4.638651e-37
 3.162278e-03     5.483167e-37
 3.548133e-03     6.486304e-37
 3.981073e-03     7.678569e-37
 4.466837e-03     9.096407e-37
 5.011873e-03     1.078345e-36
 5.623413e-03     1.279199e-36
 6.309573e-03     1.518490e-36
 7.079460e-03     1.803816e-36
 7.943284e-03     2.144431e-36
 8.912510e-03     2.551712e-36
 1.000000e-02     3.039760e-36
 1.122019e-02     3.626150e-36
 1.258925e-02     4.332789e-36
 1.412538e-02     5.186905e-36
 1.584894e-02     6.221989e-36
 1.778279e-02     7.478822e-36
 1.995263e-02     9.006517e-36
 2.238721e-02     1.086348e-35
 2.511887e-02     1.311869e-35
 2.818385e-02     1.585298e-35
 3.162277e-02     1.916079e-35
 3.548136e-02     2.315249e-35
 3.981071e-02     2.795680e-35
 4.466837e-02     3.372477e-35
 5.011876e-02     4.063366e-35
 5.623413e-02     4.889236e-35
 6.309576e-02     5.874817e-35
 7.079456e-02     7.049388e-35
 7.943284e-02     8.447782e-35
 8.912515e-02     1.011142e-34
 1.000000e-01     1.208964e-34
 1.122019e-01     1.444332e-34
 1.258925e-01     1.714603e-34
 1.412538e-01     2.006980e-34
 1.584894e-01     2.317801e-34
 1.778279e-01     2.644581e-34
 1.995263e-01     2.985006e-34
 2.238721e-01     3.336907e-34
 2.511887e-01     3.698333e-34
 2.818385e-01     4.067573e-34
 3.162278e-01     4.443178e-34
 3.548135e-01     4.823976e-34
 3.981071e-01     5.209036e-34
 4.466837e-01     5.597675e-34
 5.011876e-01     5.989412e-34
 5.623413e-01     6.383948e-34
 6.309576e-01     6.777329e-34
 7.079456e-01     7.174603e-34
 7.943284e-01     7.573536e-34
 8.912515e-01     7.973356e-34
 1.000000e+00     8.373169e-34
 1.122019e+00     8.771560e-34
 1.258925e+00     9.166264e-34
 1.412538e+00     9.553757e-34
 1.584894e+00     9.928612e-34
 1.778279e+00     1.028267e-33
 1.995263e+00     1.060390e-33
 2.238721e+00     1.087497e-33
 2.511887e+00     1.107168e-33
 2.818385e+00     1.116178e-33
 3.162278e+00     1.110515e-33
 3.548136e+00     1.085712e-33
 3.981071e+00     1.037718e-33
 4.466837e+00     9.644031e-34
 5.011876e+00     8.663134e-34
 5.623413e+00     7.527140e-34
 6.309576e+00     6.295204e-34
 7.079456e+00     5.029607e-34
 7.943284e+00     3.913577e-34
 8.912516e+00     2.982633e-34
 1.000000e+01     2.238178e-34
 1.122019e+01     1.662260e-34
 1.258925e+01     1.229682e-34
 1.412538e+01     9.278372e-35
 1.584894e+01     7.089910e-35
 1.778279e+01     5.496858e-35
 1.995263e+01     4.327865e-35
 2.238721e+01     3.459781e-35
 2.511887e+01     2.806382e-35
 2.818385e+01     2.307015e-35
 3.162278e+01     1.919337e-35
 3.548135e+01     1.613881e-35
 3.981071e+01     1.369544e-35
 4.466837e+01     1.171811e-35
 5.011876e+01     1.009908e-35
 5.623413e+01     8.758920e-36
 6.309576e+01     7.644023e-36
 7.079456e+01     6.708130e-36
 7.943284e+01     5.918244e-36
 8.912515e+01     5.250408e-36
 1.000000e+02     4.682516e-36
 1.120000e+02     4.206242e-36
 1.250000e+02     3.811838e-36
 1.400000e+02     3.462998e-36
 1.550000e+02     3.194017e-36
 1.650000e+02     3.047606e-36
 1.750000e+02     2.924222e-36
 1.850000e+02     2.826986e-36
 1.900000e+02     2.803265e-36
 1.950000e+02     2.819893e-36
 2.000000e+02     2.923506e-36
 2.050000e+02     3.211875e-36
 2.100000e+02     3.881448e-36
 2.150000e+02     5.312138e-36
 2.180000e+02     6.810863e-36
 2.210000e+02     9.068895e-36
 2.240000e+02     1.242612e-35
 2.260000e+02     1.550266e-35
 2.270000e+02     1.735769e-35
 2.275000e+02     1.837566e-35
 2.278400e+02     1.910479e-35
 2.380000e+02     6.606841e-25
 2.500000e+02     6.723195e-25
 2.700000e+02     6.911523e-25
 2.900000e+02     7.091729e-25
 3.035000e+02     7.208460e-25
